Frame No.,newgc-csharp-1500,newgc-csharp-inverse-1500,newgc-frp-1500,newgc-frp-inverse-1500
386,645614,615443,620897,1027208
387,587834,689192,686957,859868
388,634971,651356,684130,992367
389,566303,647242,681233,1012209
390,609770,667671,650283,994229
391,630843,571025,604134,1014812
392,591216,769454,706696,900092
393,668338,615610,539067,1066037
394,532233,653843,649178,1011831
395,579707,748903,571197,1023863
396,662016,645567,639287,985010
397,535965,663818,681784,986797
398,684545,784160,681560,1059053
399,537327,700268,533231,1119688
400,553189,658149,611430,836895
401,629691,724606,665030,942695
402,561558,581209,541680,1037929
403,623733,631710,667652,1171669
404,573390,625515,588235,1195970
405,686528,727392,617104,1023643
406,518036,655537,585361,979462
407,586910,599194,580373,988490
408,632285,686281,618265,998008
409,521199,625921,572765,989983
410,657640,642586,689789,919603
411,554267,575055,529788,985262
412,446232,639973,597299,945546
413,635327,581111,653101,842690
414,521260,650344,526032,1152961
415,445826,534845,696857,1056231
416,633605,664475,682535,1103294
417,537687,630349,700729,1000321
418,537541,537556,737450,930911
419,560169,571561,734930,1076585
420,549989,673036,691940,988798
421,618886,614678,795397,1031215
422,556245,661611,648091,868377
423,595251,662604,824090,1256512
424,645408,539464,706915,933444
425,570404,638788,685623,1017374
426,697413,561624,717781,818202
427,532904,619492,711567,940955
428,593086,583196,658741,963228
429,651412,691390,688609,923353
430,530725,631926,677963,964310
431,664401,678489,645921,980330
432,564825,687484,611184,785348
433,638793,560256,704121,1049382
434,572149,715005,581362,950444
435,603504,676222,651039,942253
436,629130,558484,563784,1027371
437,565436,705493,546117,989629
438,714562,607087,654221,1125277
439,541442,663580,563910,1106667
440,609942,766776,471155,1073259
441,689276,660444,662945,1190092
442,639521,646687,554640,1012083
443,686491,625641,620607,1017303
444,651944,693550,559524,875380
445,639824,675920,599095,962528
446,580509,590059,621629,1052097
447,700296,653255,579837,986531
448,505570,542795,688968,990026
449,577630,686888,589662,1094169
450,678107,645534,624195,943171
451,550758,619600,770825,810612
452,685791,568991,609513,907286
453,597594,698126,681504,987394
454,658075,520802,698835,968625
455,657444,694711,655238,911350
456,706025,675354,690550,992964
457,571440,531458,730014,1162394
458,607418,647074,645231,1058689
459,654641,659562,691166,973813
460,530851,642968,616595,982510
461,691464,696722,651071,929786
462,662814,695882,687853,1016571
463,665581,670726,728390,979538
464,598391,699134,639870,1035857
465,697758,677193,697230,1083499
466,633712,623001,607110,903675
467,589882,581097,557728,1015311
468,651748,671020,642604,982500
469,532461,624106,651118,991943
470,634715,699092,613269,913178
471,579394,695425,571010,931238
472,527931,722694,700109,737194
473,647214,593371,507679,865834
474,574272,701891,602726,853854
475,639189,617220,648011,937205
476,547880,705325,508817,919038
477,567591,582477,667671,884043
478,537462,610679,562538,763216
479,547600,552461,527712,838057
480,640663,639091,564479,896845
481,538913,501843,602753,760063
482,570805,677254,522794,1268199
483,662082,548173,646850,1074640
484,528085,637607,594155,975894
485,655466,536562,655214,838668
486,569564,671837,592410,1110744
487,564684,501562,622100,879420
488,664830,639217,650853,757375
489,564931,541847,670008,898431
490,653325,517886,691623,879168
491,573413,554052,576483,862550
492,696270,632238,695729,769286
493,535796,510571,703860,996104
